#2021-11-0214:45:52.821105
#Timestamp[ms] Up-Time UTC Date RMCValid Satsinuse Latitude Longitude Speedoverground[knots] Speedoverground[km/h] Courseoverground AltitudeNN[m] BoardTemp[°C] ExternalTemp[°C] Humidity[%] Pressure[hPa] BatteryVoltage[V] Loggerstatus
139552.842067 00:18:58 13:45:55 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.965 1007.679 3.3 66751
139554.863142 00:19:00 13:45:57 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.500 35.965 1007.479 3.3 66623
139556.902873 00:19:02 13:45:59 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.965 1007.580 3.3 66751
139558.924878 00:19:04 13:46:01 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.500 35.957 1007.669 3.3 66751
139560.946796 00:19:06 13:46:03 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.750 35.942 1007.609 3.3 66623
139562.968591 00:19:08 13:46:05 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.957 1007.669 3.3 66751
139564.99049 00:19:10 13:46:07 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.965 1007.599 3.3 66751
139567.012419 00:19:12 13:46:09 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.957 1007.500 3.3 66623
139569.034379 00:19:14 13:46:11 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.750 35.965 1007.590 3.3 66751
139571.056311 00:19:16 13:46:13 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.750 35.965 1007.390 3.3 66751
139573.078089 00:19:18 13:46:15 02.11.2021 N NA NA NA NA NA NA NA 25.875 23.750 35.957 1007.690 3.3 66623
139575.099973 00:19:20 13:46:17 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.965 1007.630 3.3 66751
139577.121635 00:19:22 13:46:19 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.750 35.950 1007.679 3.3 66751
139579.141635 00:19:24 13:46:21 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.957 1007.340 3.3 66623
139581.164236 00:19:26 13:46:23 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.950 1007.530 3.3 66751
139583.186038 00:19:28 13:46:25 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.957 1007.580 3.3 66751
139585.209547 00:19:30 13:46:27 02.11.2021 N NA NA NA NA NA NA NA 25.875 23.625 35.957 1007.580 3.3 66623
139587.231632 00:19:32 13:46:29 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.957 1007.479 3.3 66751
139589.255346 00:19:34 13:46:31 02.11.2021 N NA NA NA NA NA NA NA 25.875 23.625 35.950 1007.659 3.3 66751
139591.277614 00:19:36 13:46:33 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.942 1007.549 3.3 66623
139593.299756 00:19:38 13:46:35 02.11.2021 N NA NA NA NA NA NA NA 25.875 23.750 35.950 1007.799 3.3 66751
139595.321624 00:19:40 13:46:37 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 35.950 1007.500 3.3 66751
139597.341612 00:19:42 13:46:39 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.950 1007.640 3.3 66623
139599.361626 00:19:44 13:46:41 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.950 1007.630 3.3 66751
139601.383534 00:19:46 13:46:43 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.950 1007.590 3.3 66751
139603.405497 00:19:48 13:46:45 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.942 1007.530 3.3 66623
139605.427404 00:19:50 13:46:47 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.957 1007.590 3.3 66751
139607.449334 00:19:52 13:46:49 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.750 35.957 1007.599 3.3 66751
139609.471132 00:19:54 13:46:51 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.625 35.950 1007.549 3.3 66623
139611.49314 00:19:56 13:46:53 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.625 35.957 1007.539 3.3 66751
139613.514973 00:19:58 13:46:55 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.750 35.950 1007.590 3.3 66751
139615.536861 00:20:00 13:46:57 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.950 1007.619 3.3 66623
139617.558804 00:20:02 13:46:59 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.625 35.950 1007.659 3.3 66751
139619.580691 00:20:04 13:47:01 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.500 35.950 1007.659 3.3 66751
139621.602607 00:20:06 13:47:03 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.950 1007.489 3.3 66623
139623.624618 00:20:08 13:47:05 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.957 1007.710 3.3 66751
139625.646675 00:20:10 13:47:07 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.950 1007.599 3.3 66751
139627.66865 00:20:12 13:47:09 02.11.2021 N NA NA NA NA NA NA NA 25.875 23.750 35.950 1007.549 3.3 66623
139629.69069 00:20:15 13:47:12 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.965 1007.539 3.3 66751
139631.712639 00:20:17 13:47:14 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.957 1007.479 3.3 66751
139633.7346 00:20:19 13:47:16 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 35.965 1007.539 3.3 66751
139635.756441 00:20:21 13:47:18 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.965 1007.679 3.3 66751
139637.778336 00:20:23 13:47:20 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.750 35.988 1007.609 3.3 66751
139639.821304 00:20:25 13:47:22 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 36.26 1007.549 3.3 66751
139641.843479 00:20:27 13:47:24 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 36.87 1007.450 3.3 66751
139643.865621 00:20:29 13:47:26 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.625 36.140 1007.679 3.3 66751
139645.887509 00:20:31 13:47:28 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 36.186 1007.489 3.3 66751
139647.917004 00:20:33 13:47:30 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 36.240 1007.500 3.3 66751
139649.938906 00:20:35 13:47:32 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 36.263 1007.750 3.3 66751
139651.960807 00:20:37 13:47:34 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.750 36.247 1007.630 3.3 66751
139653.981626 00:20:39 13:47:36 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 36.224 1007.719 3.3 66751
139656.003772 00:20:41 13:47:38 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 36.202 1007.729 3.3 66751
139658.025877 00:20:43 13:47:40 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 36.156 1007.840 3.3 66751
139660.047889 00:20:45 13:47:42 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 36.110 1007.719 3.3 66751
139662.069866 00:20:47 13:47:44 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 36.72 1007.849 3.3 66751
139664.092027 00:20:49 13:47:46 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.750 36.41 1007.789 3.3 66751
139666.114266 00:20:51 13:47:48 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 36.11 1007.859 3.3 66751
139668.136422 00:20:53 13:47:50 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.750 35.965 1007.820 3.3 66751
139670.158213 00:20:55 13:47:52 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 35.934 1007.859 3.3 66751
139672.180115 00:20:57 13:47:54 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 35.896 1007.929 3.3 66751
139674.201576 00:20:59 13:47:56 02.11.2021 N NA NA NA NA NA NA NA 26.0 23.750 35.873 1007.849 3.3 66751
139676.22356 00:21:01 13:47:58 02.11.2021 N NA NA NA NA NA NA NA 26.375 23.750 35.858 1007.809 3.3 66751
139678.245835 00:21:03 13:48:00 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.881 1007.739 3.3 66751
139680.267967 00:21:05 13:48:02 02.11.2021 N NA NA NA NA NA NA NA 26.375 23.875 35.896 1007.710 3.3 66751
139682.290004 00:21:07 13:48:04 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.889 1007.690 3.3 66751
139684.312283 00:21:09 13:48:06 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 35.828 1007.700 3.3 66751
139686.33454 00:21:11 13:48:08 02.11.2021 N NA NA NA NA NA NA NA 26.375 23.750 35.751 1007.679 3.3 66751
139688.356682 00:21:13 13:48:10 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.750 35.683 1007.630 3.3 66751
139690.37885 00:21:15 13:48:12 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 35.622 1007.630 3.3 66751
139692.400967 00:21:17 13:48:14 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.750 35.538 1007.450 3.3 66751
139694.421692 00:21:19 13:48:16 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.750 35.484 1007.609 3.3 66751
139696.443937 00:21:21 13:48:18 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 35.439 1007.500 3.3 66751
139698.466169 00:21:23 13:48:20 02.11.2021 N NA NA NA NA NA NA NA 26.125 23.625 35.423 1007.640 3.3 66751
139700.488364 00:21:25 13:48:22 02.11.2021 N NA NA NA NA NA NA NA 26.250 23.625 35.400 1007.690 3.3 66751
