#2022-07-01 15:08:24.825958
#Timestamp[ms];Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;    Longitude;Speed over ground[knots];Speed over ground[km/h];Course over ground;    Altitude NN [m];Board Temp[°C];External Temp[°C];Humidity[%];Pressure[hPa];    Battery Voltage[V];Logger status
#2022-07-01 15:09:38.170849
#Timestamp[ms];Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;    Longitude;Speed over ground[knots];Speed over ground[km/h];Course over ground;    Altitude NN [m];Board Temp[°C];External Temp[°C];Humidity[%];Pressure[hPa];    Battery Voltage[V];Logger status
54578.22443;00:00:42;13:10:05;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.875;30.500;34.943;999.119;5.0;66609
54580.249876;00:00:44;13:10:07;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.625;30.375;34.943;998.989;5.0;66609
54582.269853;00:00:46;13:10:09;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.875;30.375;34.973;999.159;5.0;66615
54584.289883;00:00:48;13:10:11;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.750;30.375;35.42;999.119;4.9;66609
54586.311376;00:00:50;13:10:13;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.750;30.375;35.88;999.59;4.9;66609
54588.33304;00:00:52;13:10:15;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;33.0;30.375;35.111;999.59;4.9;66615
54590.354323;00:00:54;13:10:17;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.625;30.500;35.118;999.39;4.9;66609
54592.376295;00:00:56;13:10:19;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.750;30.375;35.149;999.49;5.0;66609
54594.398224;00:00:58;13:10:21;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.875;30.375;35.225;999.159;5.0;66615
54596.42039;00:01:00;13:10:23;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.875;30.375;35.271;999.70;5.0;66623
54598.442399;00:01:02;13:10:25;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.875;30.375;35.324;999.109;5.0;66623
54600.464699;00:01:04;13:10:27;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.625;30.500;35.393;999.140;4.9;66743
54602.486957;00:01:06;13:10:29;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.625;30.500;35.446;999.30;5.0;66623
54604.508937;00:01:08;13:10:31;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.875;30.375;35.469;999.169;5.0;66623
54606.530057;00:01:10;13:10:33;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.875;30.500;35.484;999.119;5.0;66743
54608.552418;00:01:12;13:10:35;01.07.2022;N;NA;NA;NA;NA;NA;NA;NA;32.750;30.500;35.484;999.200;5.0;66609
